trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9990009990009991}",20,0,-83.87654852755901,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9980029960049943}",20,0,-48.30065220316757,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.9970059900149795}",30,0,-155.0968836481526,"{0: 18, 1: 2, 2: 8, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.9960099800349447}",25,0,-87.7297525036481,"{0: 17, 1: 0, 2: 7, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9950149650698749}",25,0,-165.05551623028683,"{0: 16, 1: 3, 2: 2, 3: 1, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.9940209441257493}",25,0,-90.47608867469732,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9930279162095398}",20,0,-134.91690288442936,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.9920358803292106}",20,14,-1.2392272115880532,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.991044835493717}",25,0,-91.2281086408612,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9900547807130041}",20,0,-92.62938154261403,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.9890657149980062}",25,8,-51.439971784731526,"{0: 9, 1: 3, 2: 5, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.9880776373606457}",25,0,-43.43671690120003,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.987090546813832}",25,0,-75.25575752692971,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.9861044423714607}",25,0,-218.43329799173003,"{0: 14, 1: 1, 2: 5, 3: 1, 4: 4}",0
15,False,"{'a': 0.5, 'e': 0.9851193230484123}",25,0,-109.20569830784231,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.9841351878605519}",20,0,-129.04538199809804,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.9831520358247272}",20,0,-137.36825033709587,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 0.9821698659587685}",35,0,-270.77055151139393,"{0: 19, 1: 4, 2: 7, 3: 0, 4: 5}",0
19,False,"{'a': 0.5, 'e': 0.9811886772814872}",25,0,-23.914919905819,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.9802084688126746}",20,0,-106.4666690833466,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.9792292395731017}",20,0,-147.17910529682376,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
22,False,"{'a': 0.5, 'e': 0.9782509885845173}",35,0,-149.4958619853228,"{0: 24, 1: 3, 2: 4, 3: 2, 4: 2}",0
23,False,"{'a': 0.5, 'e': 0.9772737148696478}",25,0,-92.1801978045259,"{0: 13, 1: 7, 2: 3, 3: 2, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.9762974174521957}",20,0,-77.54655407801258,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.9753220953568389}",35,0,-156.73133103135046,"{0: 23, 1: 5, 2: 4, 3: 0, 4: 3}",0
26,False,"{'a': 0.5, 'e': 0.9743477476092298}",25,0,-30.388022213546368,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.973374373235994}",25,0,-95.48291478459483,"{0: 18, 1: 1, 2: 3, 3: 2, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.9724019712647294}",20,0,-63.85176119001728,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.9714305407240055}",35,0,-81.33158366397701,"{0: 23, 1: 5, 2: 6, 3: 1, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.9704600806433622}",20,0,-68.45522305793415,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.969490590053309}",20,0,-88.93823616689873,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
32,False,"{'a': 0.5, 'e': 0.9685220679853237}",20,0,-32.87602661439737,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
33,False,"{'a': 0.5, 'e': 0.967554513471852}",20,0,-165.4924403556014,"{0: 9, 1: 1, 2: 7, 3: 1, 4: 2}",0
34,False,"{'a': 0.5, 'e': 0.9665879255463058}",30,0,-25.499373771565832,"{0: 23, 1: 3, 2: 4, 3: 0, 4: 0}",0
35,False,"{'a': 0.5, 'e': 0.9656223032430629}",20,0,-131.90221305876528,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
36,False,"{'a': 0.5, 'e': 0.9646576455974655}",20,0,-187.4328064778097,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 4}",0
37,False,"{'a': 0.5, 'e': 0.9636939516458197}",30,0,-182.51054158191315,"{0: 12, 1: 5, 2: 11, 3: 1, 4: 1}",0
38,False,"{'a': 0.5, 'e': 0.9627312204253944}",20,0,-86.67635948344649,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
39,False,"{'a': 0.5, 'e': 0.9617694509744201}",20,1,-22.342864811500238,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 0}",1
40,False,"{'a': 0.5, 'e': 0.9608086423320882}",25,0,-85.65687591101855,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
41,False,"{'a': 0.5, 'e': 0.9598487935385497}",20,0,-42.02484651725014,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
42,False,"{'a': 0.5, 'e': 0.9588899036349149}",20,0,-56.67829658203142,"{0: 10, 1: 6, 2: 4, 3: 0, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.9579319716632517}",35,12,-81.54213614084799,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 2}",1
44,False,"{'a': 0.5, 'e': 0.9569749966665853}",25,0,-62.4278626265352,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
45,False,"{'a': 0.5, 'e': 0.9560189776888964}",20,0,-64.40046169276098,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.9550639137751215}",25,0,-167.86131902437427,"{0: 13, 1: 6, 2: 3, 3: 0, 4: 3}",0
47,False,"{'a': 0.5, 'e': 0.9541098039711504}",35,11,-85.25489960905061,"{0: 15, 1: 5, 2: 2, 3: 1, 4: 1}",1
48,False,"{'a': 0.5, 'e': 0.9531566473238267}",25,0,-94.67478941719504,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
49,False,"{'a': 0.5, 'e': 0.9522044428809459}",20,0,-171.65447559648496,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
50,False,"{'a': 0.5, 'e': 0.9512531896912547}",20,0,-80.49027533775097,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
51,False,"{'a': 0.5, 'e': 0.9503028868044504}",20,0,-6.474524983982942,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
52,False,"{'a': 0.5, 'e': 0.9493535332711793}",20,8,-33.32259775427922,"{0: 6, 1: 3, 2: 3, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.9484051281430363}",30,0,-95.88624392994919,"{0: 18, 1: 7, 2: 4, 3: 0, 4: 1}",0
54,False,"{'a': 0.5, 'e': 0.9474576704725639}",30,0,-194.54750027640858,"{0: 13, 1: 10, 2: 4, 3: 0, 4: 3}",0
55,False,"{'a': 0.5, 'e': 0.9465111593132508}",20,4,-51.924199957428556,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 1}",1
56,False,"{'a': 0.5, 'e': 0.9455655937195314}",20,0,-84.63422151128448,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
57,False,"{'a': 0.5, 'e': 0.9446209727467847}",30,0,-160.15508317617716,"{0: 17, 1: 2, 2: 9, 3: 0, 4: 2}",0
58,False,"{'a': 0.5, 'e': 0.9436772954513335}",20,0,-56.56854062394859,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
59,False,"{'a': 0.5, 'e': 0.9427345608904432}",20,0,-60.75336654761141,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
60,False,"{'a': 0.5, 'e': 0.9417927681223209}",20,0,-74.27167987292354,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.940851916206115}",20,1,-105.93065294554427,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 2}",1
62,False,"{'a': 0.5, 'e': 0.9399120042019131}",20,12,-29.36691824133365,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
63,False,"{'a': 0.5, 'e': 0.9389730311707425}",25,7,-23.91874226931438,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 0}",1
64,False,"{'a': 0.5, 'e': 0.938034996174568}",30,0,-188.43584615094122,"{0: 18, 1: 5, 2: 3, 3: 0, 4: 4}",0
65,False,"{'a': 0.5, 'e': 0.9370978982762918}",20,0,-136.93717916787352,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
66,False,"{'a': 0.5, 'e': 0.9361617365397521}",25,6,-46.196781742382655,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 0}",1
67,False,"{'a': 0.5, 'e': 0.9352265100297225}",20,0,-100.96813396291556,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
68,False,"{'a': 0.5, 'e': 0.9342922178119106}",35,0,-180.54159573846394,"{0: 22, 1: 3, 2: 7, 3: 0, 4: 3}",0
69,False,"{'a': 0.5, 'e': 0.9333588589529578}",20,0,-79.62547499542872,"{0: 10, 1: 7, 2: 2, 3: 0, 4: 1}",0
70,False,"{'a': 0.5, 'e': 0.9324264325204374}",20,0,-10.36166371776345,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
71,False,"{'a': 0.5, 'e': 0.9314949375828547}",25,0,-125.98827090130662,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
72,False,"{'a': 0.5, 'e': 0.9305643732096451}",20,0,-70.91467436155149,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
73,False,"{'a': 0.5, 'e': 0.9296347384711741}",20,0,-90.70541873176569,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
74,False,"{'a': 0.5, 'e': 0.9287060324387354}",25,0,-23.40417228680241,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
75,False,"{'a': 0.5, 'e': 0.927778254184551}",20,0,-71.82161647525828,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
76,False,"{'a': 0.5, 'e': 0.9268514027817693}",30,0,-155.9996627719198,"{0: 16, 1: 5, 2: 7, 3: 0, 4: 2}",0
